713;016100101;SERVIÇO DE PULVERIZAÇÃO E CONTROLE DE PRAGAS AGRÍCOLAS
711;016100201;SERVIÇO DE PODA DE ÁRVORES PARA LAVOURAS
714;016100301;SERVIÇO DE PREPARAÇÃO DE TERRENO, CULTIVO E COLHEITA
714;016109901;LOCAÇÃO DE MAQUINAS AGRÍCOLAS COM OPERADOR
1705;016109902;SERVIÇOS DE CONTRATANTES DE MAO-DE-OBRA PARA A AGRICULTURA
714;016109903;EXPLORAÇÃO DE SISTEMAS DE IRRIGAÇÃO
1701;016109999;ATIVIDADES DE APOIO À AGRICULTURA NÃO ESPECIFICADAS ANTERIORMENTE
504;016280101;SERVIÇO DE INSEMINAÇÃO ARTIFICIAL EM ANIMAIS
508;016280201;SERVIÇO DE TOSQUIAMENTO DE OVINOS
508;016280301;SERVIÇO DE MANEJO DE ANIMAIS
508;016289901;SERVIÇO DE ALOJAMENTO DO GADO DE CURTA DURAÇÃO
508;016289902;SERVIÇO DE CLASSIFICAÇÃO DE PINTOS
710;016289903;SERVIÇO DE LIMPEZA DE BANHEIROS CARRAPATICIDAS E SARNICIDAS E DE GALINHEIROS
1705;016289904;CONTRATANTES DE MAO-DE-OBRA PARA O SETOR PECUÁRIO
1701;016289905;CLASSIFICAÇÃO DE PRODUTOS DE ORIGEM ANIMAL
1701;016289906;SERVIÇO DE APANHA DE FRANGOS
1701;016289907;SERVIÇO DE CATAÇÃO DE FRANGOS
1705;016289908;SERVIÇO DE GATO, EMPREITEIRO DE MÃO-DE-OBRA PECUÁRIA
1705;016289909;EMPREGADORES DE MÃO-DE-OBRA PARA A PECUÁRIA
1701;016289910;SERVIÇO DE PADRONIZAÇÃO DE OVOS DE GALINHA
1701;016289911;SERVIÇO DE SEXAGEM DE PINTOS
1701;016289999;ATIVIDADES DE APOIO À PECUARIA NAO ESPECIFICADAS ANTERIORMENTE
1405;016360001;ATIVIDADES DE PÓS-COLHEITA
714;021010702;REFLORESTAMENTO COM ABATE DE ARVORES
709;021019901;PRODUÇÃO DE PRODUTOS NÃO-MADEIREIROS NÃO ESPECIFICADOS ANTERIORMENTE EM FLORESTAS PLANTADAS
2601;022090301;COLETA DE CASTANHA-DO-PARÁ EM FLORESTAS NATIVAS
2601;022090401;COLETA DE LÁTEX EM FLORESTAS NATIVAS
2601;022090501;COLETA DE PALMITO EM FLORESTAS NATIVAS
714;022090601;CONSERVAÇÃO DE FLORESTAS NATIVAS
2601;022099901;COLETA DE PRODUTOS NÃO-MADEIREIROS NÃO ESPECIFICADOS ANTERIORMENTE EM FLORESTAS NATIVAS
