"0000","RECEITA DO TESOURO"
"0013","Taxa Fiscalização CVM"
"0014","TJLP A CLASSIFICAR-PERFIL ZERO-PARCELAMENTO"
"0015","TJLP IPI - PARCELAMENTO"
"0016","TJLP IRRF - PARCELAMENTO"
"0017","MULTA IRRF-REND TRAB RES EXT-OPER INTRA ORCAM"
"0018","PIS - PARCELAMENTO"
"0019","Transferências Correntes dos Municípios"
"0020","COFINS - PARCELAMENTO"
"0021","IOF - OPERACOES CREDITO - PARCELAMENTO"
"0022","IOF - OURO - PARCELAMENTO"
"0023","JUROS IRRF-REND TRAB-RES EXT-OPER INTRA ORCAM"
"0024","CSLL - PARCELAMENTO"
"0025","IPMF - PARCELAMENTO"
"0026","IRRF-Rendimentos do Trabalho de Qualquer Natureza, como os Provenientes de Pensão, Aposentadoria, Prêmios em Concursos e Comissões-Residentes no Exterior-Oper. Intra Orçament."
"0027","RECEITAS CORRENTES"
"0028","SIMPLES FEDERAL A CLASSIFICAR"
"0029","CPMF - PARCELAMENTO"
"0030","Alienação do Domínio Direto - SPU"
"0031","CIDE - REMESSAS AO EXTERIOR - PARCELAMENTO"
"0032","IMP IMPORTACAO - PARCELAMENTO"
"0033","IMP EXPORTACAO - PARCELAMENTO"
"0034","MULTAS - PARCELAMENTO"
"0035","RECEITA TRIBUTARIA"
"0036","FUNDAF - PARCELAMENTO"
"0037","CIDE-COMBUSTIVEIS-IMPORTACAO-PARCELAMENTO"
"0038","PIN - PROGRAMA DE INTEGRACAO NACIONAL"
"0039","IRRF-Remuneração Serviços Prestados por Pessoa Jurídica-Operações Intra Orçamentárias"
"0040","CIDE-COMBUSTIVEIS-MERCADO INTERNO-PARCELAM"
"0041","Multa por Atraso na Entrega da Dirf Anual-Operações Intra Orçamentárias"
"0042","PROTERRA-PROGRAMA DE REDISTRIBUICAO DE TERRAS"
"0043","IMPOSTOS"
"0044","PIS - SIMPLES - PARCELAMENTO"
"0045","CSLL - SIMPLES - PARCELAMENTO"
"0046","Permissão de Uso - SPU"
"0047","COFINS - SIMPLES - PARCELAMENTO"
"0048","INSS - SIMPLES - PARCELAMENTO"
"0049","ISS - SIMPLES - PARCELAMENTO"
"0050","ICMS - SIMPLES - PARCELAMENTO"
"0051","IMPOSTOS SOBRE COMERCIO EXTERIOR"
"0052","Regularização de depósitos extrajudiciais não tributários - Lei nº 12.099/2009"
"0053","DEMAIS RECEITAS TRIBUTARIAS - PARCELAMENTO"
"0054","Multa por Atraso na Entrega da Dipj-Operações Intraorçamentárias"
"0055","SIMPLES NACIONAL - MEI"
"0056","R D ATIVA - PIS/PASEP - PARCELAMENTO"
"0057","R D ATIVA - COFINS E FINSOCIAL - PARCELAMENTO"
"0058","R D ATIVA - CAAA - PARCELAMENTO"
"0059","R D ATIVA-IOF OPERACOES DE CREDITO-PARCELAM"
"0060","II - IMPOSTO SOBRE IMPORTACAO"
"0061","R D ATIVA - CSLL - PARCELAMENTO"
"0062","R D ATIVA - IPMF - PARCELAMENTO"
"0063","R D ATIVA - CPMF - PARCELAMENTO"
"0064","R D ATIVA-CIDE REMESSAS AO EXTERIOR-PARCELAM"
"0065","R D ATIVA - IMP IMPORTACAO - PARCELAMENTO"
"0066","R D ATIVA - IMP EXPORTACAO - PARCELAMENTO"
"0067","Produtos-Retenção em Pagamentos por Órgãos Públicos-Operações Intra Orçamentárias"
"0068","MULTA SIMPLES NACIONAL - MEI"
"0069","Cessão de Uso - SPU"
"0070","Transporte de Passageiros-Retenção em Pagamentos por Órgãos Públicos-Operações Intra Orçamentárias"
"0071","JUROS SIMPLES NACIONAL - MEI"
"0072","R D ATIVA-MULTA CRIMINAL/JUSTICA FED-PARCELAM"
"0073","R D ATIVA - MULTAS DA ANP - PARCELAMENTO"
"0074","R D ATIVA-MULTA CODIGO DEFESA CONSUM-PARCELAM"
"0075","Ressarcimento Casa da Moeda - Lei 11.488/2007"
"0076","R D ATIVA - MULTAS CLT - PARCELAMENTO"
"0077","R D ATIVA - MULTAS - PARCELAMENTO"
"0078","II-IMPOSTO IMPORTACAO-VEICULOS E AUTOMOVEIS"
"0079","R D ATIVA-MULTA COD ELEIT L. CONEXAS-PARCELAM"
"0080","R D ATIVA-MULTA LEG CINEMATOG-PARCELAMENTO"
"0081","Indenização por Posse/Ocupação Ilícita - SPU"
"0082","Financeiras-Retenção em Pagamentos por Órgãos Públicos-Operações Intra Orçamentárias"
"0083","ICMS - SIMPLES NACIONAL - MEI"
"0084","R D ATIVA - CUSTAS JUDICIAIS - PARCELAMENTO"
"0085","R D ATIVA - TAXA FISC TELECOM - PARCELAMENTO"
"0086","II - Imposto  Importação - outros"
"0087","R D ATIVA - SPU - PARCELAMENTO"
"0088","R D ATIVA - RESERVA MONETARIA - PARCELAMENTO"
"0089","R D ATIVA - OUTRAS ORIGENS - PARCELAMENTO"
"0090","R D ATIVA - AFRMM - PARCELAMENTO"
"0091","R D ATIVA - PROEX - PARCELAMENTO"
"0092","R D ATIVA-AMORT JUR DE EMP FMM-PARCELAMENTO"
"0093","R D ATIVA-CREDITOS CONT DA UNIAO-STN-PARCELAM"
"0094","II - Imposto  Importação - Bagagem Acompanhada"
"0095","Serviços-Retenção em Pagamentos por Órgãos Públicos-Operações Intra Orçamentárias"
"0096","MULTA ICMS - SIMPLES NACIONAL - MEI"
"0097","R D ATIVA-AT CONT C C C CAV  7291-84-PARCELAM"
"0098","MULTA-PRODUTOS-RET PAG ORG PUB-OPER INTRA ORC"
"0099","R D ATIVA-AT ORG EXT/OUT  IAA-FIN-PRO-PARCEL"
"0100","IE - IMPOSTO SOBRE EXPORTACAO"
"0101","R D ATIVA - FUNAPOL - PARCELAMENTO"
"0102","R D ATIVA-AVAL / FIANCA / ASS CRED-PARCELAM"
"0103","R D ATIVA-TX FISC MERC SEG CAP PREV-PARCELAM"
"0104","R D ATIVA-EMPRESTIMO COMPULSORIO-PARCELAMENTO"
"0105","R D ATIVA-PARCELAM DE ARREMATACAO- PARCELAM"
"0106","R D ATIVA-CIDE-COMBUS-IMPORTACAO-PARCELAMENTO"
"0107","IE - Imposto  Exportação - outros"
"0108","JUROS-PRODUTOS-RET ORG PUB-OPER INTRA ORCA"
"0109","R D ATIVA-CIDE-COMBUS-MERC INTER-PARCELAMENTO"
"0110","Medicamentos Adquiridos do Distribuidor ou Varejista-Retido por Órgão Público-Operações Intra Orçamentárias"
"0111","R D ATIVA - SIMPLES - PIS - PARCELAMENTO"
"0112","JUROS ICMS - SIMPLES NACIONAL - MEI"
"0113","R D ATIVA - SIMPLES - CSLL - PARCELAMENTO"
"0114","MULTA-TRANSPORTE PASSAG-RET OP-OPER INTRA ORC"
"0115","IMPOSTOS SOBRE PATRIMONIO E RENDA"
"0116","R D ATIVA - SIMPLES - COFINS - PARCELAMENTO"
"0117","R D ATIVA - SIMPLES - INSS - PARCELAMENTO"
"0118","R D ATIVA - SIMPLES - ISS - PARCELAMENTO"
"0119","R D ATIVA - SIMPLES - ICMS  - PARCELAMENTO"
"0120","JUROS-TRANSPORTE PASSAG-RET OP-OPER INTRA ORC"
"0121","R D ATIVA - DEMAIS RECEITAS - PARCELAMENTO"
"0122","Transporte Internacional de Passageiros-Empresas Nacionais-Retido por Órgão Público-Operações Intra Orçamentárias"
"0123","Bens e serviços adquiridos de sociedades cooperativas e associações profissionais ou assemelhadas - Retido por órgão público - Operações Intra-orçamentárias"
"0124","IPI - PARCELAMENTO"
"0125","ISS - SIMPLES NACIONAL - MEI"
"0126","IPI - SIMPLES - PARCELAMENTO"
"0127","R D ATIVA - IPI - PARCELAMENTO"
"0128","R D ATIVA - SIMPLES - IPI - PARCELAMENTO"
"0129","IRRF - PARCELAMENTO"
"0130","ITR - IMPOSTO S/PROPRIEDADE TERRITORIAL RURAL"
"0131","IMP S/PROPR TERRITORIAL RURAL"
"0132","IRPJ - PARCELAMENTO"
"0133","IRPF - PARCELAMENTO"
"0134","IRPJ - SIMPLES - PARCELAMENTO"
"0135","Contribuição sobre Receita de Loteria de Prognóstico Específico"
"0136","MULTA ISS - SIMPLES NACIONAL - MEI"
"0137","MULTA-FINANCEIRAS-RET ORG PUB-OPER INTRA ORCA"
"0138","R D ATIVA - IRRF - PARCELAMENTO"
"0139","R D ATIVA - IRPJ - PARCELAMENTO"
"0140","ITBI-ATRIBUIDO A UNIAO NO TERRIT. DO AMAPA"
"0141","R D ATIVA - IRPF - PARCELAMENTO"
"0142","R D ATIVA - SIMPLES - IRPJ - PARCELAMENTO"
"0143","JUROS-FINANCEIRAS-RET ORG PUB-OPER INTRA ORCA"
"0144","MULTA PIS - PARCELAMENTO"
"0145","MULTA COFINS - PARCELAMENTO"
"0146","MULTA IOF OPERACOES CREDITO - PARCELAMENTO"
"0147","MULTA IOF OURO - PARCELAMENTO"
"0148","Cide - Combustíveis - Importação - Lançamento de Ofício"
"0149","JUROS ISS - SIMPLES NACIONAL - MEI"
"0150","MULTA DE OFICIO - CIDE - COMBUST - IMPORTACAO"
"0151","INSS - SIMPLES NACIONAL - MEI"
"0152","MULTA CSLL - PARCELAMENTO"
"0153","MULTA IPMF - PARCELAMENTO"
"0154","MULTA CPMF - PARCELAMENTO"
"0155","MULTA CIDE-REMESSAS AO EXTERIOR-PARCELAMENTO"
"0156","MULTA IMP IMPORTACAO - PARCELAMENTO"
"0157","MULTA IMP EXPORTACAO - PARCELAMENTO"
"0158","JUROS LANC OFICIO - CIDE-COMBUST - IMPORTACAO"
"0159","MULTA MULTAS - PARCELAMENTO"
"0160","MULTA FUNDAF - PARCELAMENTO"
"0161","MULTA CIDE-COMBUSTIVEIS-IMPORTACAO-PARCELAM"
"0162","MULTA CIDE-COMBUSTIVEIS-MERC INTER-PARCELAM"
"0163","Receita dos Direitos Antidumping e dos Direitos Compensatórios - Depósito Judicial"
"0164","MULTA INSS - SIMPLES NACIONAL - MEI"
"0165","MULTA PIS - SIMPLES - PARCELAMENTO"
"0166","ITBI-ATRIBUIDO A UNIAO NO TERRIT. DE RORAIMA"
"0167","MULTA CSLL - SIMPLES - PARCELAMENTO"
"0168","MULTA COFINS - SIMPLES - PARCELAMENTO"
"0169","MULTA INSS - SIMPLES - PARCELAMENTO"
"0170","MULTA ISS - SIMPLES - PARCELAMENTO"
"0171","MULTA ICMS - SIMPLES - PARCELAMENTO"
"0172","MULTA-SERVICOS-RET ORG PUB-OPER INTRA ORCAM"
"0173","MULTA DEMAIS RECEITAS TRIBUTARIAS-PARCELAM"
"0174","Receita dos Direitos Antidumping e dos Direitos Compensatórios - Depósito Administrativo"
"0175","MULTA PIS/PASEP - PARCELAMENTO - DIVIDA ATIVA"
"0176","R D Ativa - Parcelamento Timemania - Clubes de Futebol"
"0177","JUROS INSS - SIMPLES NACIONAL - MEI"
"0178","MULTA COFINS E FINSOCIAL-PARCEL-DIVIDA ATIVA"
"0179","MULTA CAAA - PARCELAMENTO - DIVIDA ATIVA"
"0180","MULTA IOF OPERACOES CREDITO-PARCELAM-D ATIVA"
"0181","MULTA CSLL - PARCELAMENTO - DIVIDA ATIVA"
"0182","IRPF-ANTECIPACAO-SERVICOS"
"0183","MULTA IPMF - PARCELAMENTO - DIVIDA ATIVA"
"0184","MULTA CPMF - PARCELAMENTO - DIVIDA ATIVA"
"0185","MULTA CIDE-REMESSAS EXTERIOR-PARCELAM-D ATIVA"
"0186","MULTA IMP IMPORTACAO-PARCELAM-DIVIDA ATIVA"
"0187","MULTA IMP EXPORTACAO-PARCELAM-DIVIDA ATIVA"
"0188","MULTA CRIMINAL/JUSTICA FEDERAL-PARCEL-D ATIVA"
"0190","IRPF - Carnê Leão"
"0191","CSLL - Tributação Diferida/Opção pelo Simples - Lançamento de Ofício"
"0192","JUROS OFICIO - IMP IMPORT - REMESSA EXPRESSA"
"0193","MULTA DA ANP - PARCELAMENTO - DIVIDA ATIVA"
"0194","MULTA CODIGO DEFESA CONSUMIDOR-PARCEL-D ATIVA"
"0195","JUROS-SERVICOS-RET ORG PUB-OPER INTRA ORCAM"
"0196","MULTA CLT - PARCELAMENTO - DIVIDA ATIVA"
"0197","MULTA - PARCELAMENTO - DIVIDA ATIVA"
"0198","MULTA COD ELEITORAL LEIS CONEXAS-PARC-D ATIVA"
"0199","MULTA LEG CINEMATOG-PARCELAMENTO-DIVIDA ATIVA"
"0200","MULTA CUSTAS JUDICIAIS-PARCELAM-DIVIDA ATIVA"
"0201","MULTA TAXA FISC TELECOM-PARCELAM-DIVIDA ATIVA"
"0202","MULTA SPU - PARCELAMENTO - DIVIDA ATIVA"
"0203","IMPOSTO S/RENDA E PROV QQ NATUREZA"
"0204","MULTA RESERVA MONETARIA-PARCELAM-DIVIDA ATIVA"
"0205","MULTA-MED ADQ DIST VAREJ-RET OP-OPE INTRA ORC"
"0206","MULTA OUTRAS ORIGENS-PARCELAM-DIVIDA ATIVA"
"0207","MULTA AFRMM - PARCELAMENTO - DIVIDA ATIVA"
"0208","MULTA PROEX - PARCELAMENTO - DIVIDA ATIVA"
"0209","MULTA AMORT JUR DE EMP FMM-PARCELAM-D ATIVA"
"0210","IRPF - IMPOSTO DE RENDA PESSOAS FISICAS"
"0211","IRPF - Declaração de Ajuste Anual, Declaração de Saída Definitiva do País e Declaração Final de Espólio"
"0212","MULTA CRED CONTRAT UNIAO-STN-PARCELAM-D ATIVA"
"0213","MULTA AT C C C C CAV N L7291-84 -PARC-D ATIVA"
