"Código","Especificação da Receita"
"1007","Contribuinte Individual - Recolhimento Mensal - NIT/PIS/PASEP"
"1104","Contribuinte Individual - Recolhimento Trimestral - NIT/PIS/PASEP"
"1120","Contribuinte Individual - Recolhimento Mensal - Com dedução de 45% (Lei nº 9.876/99) - NIT/PIS/PASEP"
"1147","Contribuinte Individual - Recolhimento Trimestral - Com dedução de 45% (Lei nº 9.876/99) - NIT/PIS/PASEP"
"1163","Contribuinte Individual (autônomo que não presta serviço à empresa) - Opção: Aposentadoria apenas por idade (art. 80 da LC 123 de 14/12/2006) - Recolhimento Mensal - NIT/PIS/PASEP"
"1180","Contribuinte Individual (autônomo que não presta serviço à empresa) - Opção: Aposentadoria apenas por idade (art. 80 da LC 123 de 14/12/2006) - Recolhimento Trimestral - NIT/PIS/PASEP"
"1198","CI Optante LC 123 Trimestral Compl"
"1201","GRC Trabalhador Pessoa Física (Contribuinte Individual, Facultativo, Empregado Doméstico, Segurado Especial) - DEBCAD (Preenchimento exclusivo pela Previdência Social)"
"1228","CI Trimestral Rural"
"1236","CI Optante LC 123 Mensal Rural"
"1244","CI Optante LC 123 Mensal Rural Complementação"
"1252","CI Optante LC 123 Trimestral Rural"
"1260","CI Optante LC 123 Trimestral Rural Complementação"
"1287","CI Mensal - Rural"
"1295","CI Optante LC 123 Mensal Compl"
"1406","Facultativo Mensal - NIT/PIS/PASEP"
"1457","Facultativo Trimestral - NIT/PIS/PASEP"
"1473","Facultativo - Opção: Aposentadoria apenas por idade (art. 80 da LC 123 de 14/12/2006) - Recolhimento Mensal - NIT/PIS/PASEP"
"1490","Facultativo - Opção: Aposentadoria apenas por idade (art. 80 da LC 123 de 14/12/2006) - Recolhimento Trimestral - NIT/PIS/PASEP"
"1503","Segurado Especial Mensal - NIT/PIS/PASEP"
"1554","Segurado Especial Trimestral - NIT/PIS/PASEP"
"1600","Empregado Doméstico Mensal - NIT/PIS/PASEP"
"1619","Empr. Domest. Patronal 12% Mensal Afast/Sal. Maternidade"
"1651","Empregado Doméstico Trimestral - NIT/PIS/PASEP - (que recebe até um salário mínimo)"
"1678","Empr. Domest. Patronal 12% Trimestral Afast/Sal. Maternidade"
"1686","Facultativo - Optante Lc 123/2006 - Recolhimento Mensal - Compl."
"1694","Facultativo - Optante Lc 123/2006 - Recolhimento Trimestral - Compl."
"1708","Reclamatória Trabalhista - NIT/PIS/PASEP"
"1759","Acréscimos Legais de Contribuinte Individual, Doméstico, Facultativo e Segurado Especial - Lei nº 8212/91 - NIT/PIS/PASEP"
"1805","CI com Direito a Dedução Mensal - Rural"
"1813","CI com Direito a Dedução Trimestral - Rural"
"1821","Facultativo / Exercente de Mandato Eletivo / Recolhimento Complementar"
"1830","Facultativo Baixa Renda - Recolhimento Mensal - Complemento Para Plano Simplificado da Previdência Social - PSPS - Lei 12470/11"
"1848","Facultativo Baixa Renda - Recolhimento Trimestral - Complemento Para Plano Simplificado da Previdência Social - PSPS - Lei 12470/11"
"1902","Diferenças de valor de contribuição/NIT/PIS/PASEP"
"1910","MEI - Complementação Mensal"
"1929","Facultativo Baixa Renda - Recolhimento Mensal - NIT/PIS/PASEP"
"1937","Facultativo Baixa Renda - Recolhimento Trimestral - NIT/PIS/PASEP"
"1945","Facultativo Baixa Renda - Recolhimento Mensal - Complemento"
"1953","Facultativo Baixa Renda - Recolhimento Trimestral - Complemento"
"2003","Simples - CNPJ"
"2011","Empresas Optantes pelo Simples - CNPJ - Recolhimento sobre Aquisição de Produto Rural de Produtor Rural Pessoa Física"
"2020","Empresas Optantes pelo Simples - CNPJ - Recolhimento sobre Contratação de Transportador Rodoviário Autônomo"
"2100","Empresas em Geral - CNPJ"
"2119","Empresas em Geral - CNPJ - Pagamento exclusivo para Outras Entidades (SESC, SESI, SENAI, etc.)"
"2127","Cooperativa de trabalho - CNPJ - Contribuição descontada do cooperado - Lei 10.666/2003"
"2143","Empresas em Geral - CNPJ - Pagamento Exclusivo de empresas conveniadas com o FNDE - Competências anteriores a 01/2007 (Dec. 6.003/2006)"
"2208","Empresas em Geral - CEI"
"2216","Empresas em Geral - CEI - Pagamento exclusivo para Outras Entidades (SESC, SESI, SENAI, etc.)"
"2240","Empresas em Geral - CEI - Pagamento Exclusivo de empresas conveniadas com o FNDE para competências anteriores a 01/2007 (Dec. 6.003/2006)"
"2305","Filantrópicas com Isenção - CNPJ"
"2321","Filantrópicas com Isenção - CEI"
"2402","Órgãos do Poder Público - CNPJ"
