"Item 116","Código","Descrição"
"713","016100101","Serviço de Pulverização e Controle de Pragas Agrícolas"
"711","016100201","Serviço de Poda de árvores Para Lavouras"
"714","016100301","Serviço de Preparação de Terreno, Cultivo e Colheita"
"714","016109901","Locação de Maquinas Agrícolas com Operador"
"1705","016109902","Serviços de Contratantes de Mao-de-obra Para a Agricultura"
"714","016109903","Exploração de Sistemas de Irrigação"
"1701","016109999","Atividades de Apoio à Agricultura Não Especificadas Anteriormente"
"504","016280101","Serviço de Inseminação Artificial em Animais"
"508","016280201","Serviço de Tosquiamento de Ovinos"
"508","016280301","Serviço de Manejo de Animais"
"508","016289901","Serviço de Alojamento do Gado de Curta Duração"
"508","016289902","Serviço de Classificação de Pintos"
"710","016289903","Serviço de Limpeza de Banheiros Carrapaticidas e Sarnicidas e De Galinheiros"
"1705","016289904","Contratantes de Mao-de-obra Para o Setor Pecuário"
"1701","016289905","Classificação de Produtos de Origem Animal"
"1701","016289906","Serviço de Apanha de Frangos"
"1701","016289907","Serviço de Catação de Frangos"
"1705","016289908","Serviço de Gato, Empreiteiro de Mão-de-obra Pecuária"
"1705","016289909","Empregadores de Mão-de-obra Para a Pecuária"
"1701","016289910","Serviço de Padronização de Ovos de Galinha"
"1701","016289911","Serviço de Sexagem de Pintos"
"1701","016289999","Atividades de Apoio à Pecuaria Nao Especificadas Anteriormente"
"1405","016360001","Atividades de Pós-colheita"
"714","021010702","Reflorestamento com Abate de Arvores"
"709","021019901","Produção de Produtos Não-madeireiros Não Especificados Anteriormente em Florestas Plantadas"
"2601","022090301","Coleta de Castanha-do-pará em Florestas Nativas"
"2601","022090401","Coleta de Látex em Florestas Nativas"
"2601","022090501","Coleta de Palmito em Florestas Nativas"
"714","022090601","Conservação de Florestas Nativas"
"2601","022099901","Coleta de Produtos Não-madeireiros Não Especificados Anteriormente em Florestas Nativas"
"2801","023060001","Avaliação de Massas Florestais em Pe"
"2801","023060002","Estimativa de Valor de Madeira"
"714","023060003","Preparação da Terra Para Cultivo de Especies Florestais"
"714","023060004","Semeaduras e Plantio de Mudas de Especies Florestais"
"712","023060005","Controle e Tratamento de Agentes Fisicos, Quimicos e Biologicos em Areas de Florestamento e Reflorestamento"
"1405","023060006","Serviço de Abate e Derrubada de Arvores"
"1603","023060007","Serviço de Transporte de Toras Somente No Local de Derrubada das árvores"
"1603","023060007","Serviço de Transporte de Toras Somente No Local de Derrubada das árvores"
"1104","023060008","Serviço de Descarregamento de Madeira"
"1701","023060009","Serviço de Consultoria Técnica de Administração Florestal"
